movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,director,cast
Luận Ai Xứng Danh Anh Hùng,Phim bộ,7700,9.5,T13,2022,38,Trung Quốc đại lục,"Võ Thuật, Lãng Mạn, Tình Tiết, Cổ Trang, Tiếng Phổ Thông, Cổ Đại",Li Mu Ge,"Tăng Thuấn Hy, Dương Siêu Việt, Lưu Vũ Ninh, Trần Sở Hà , Mạnh Tử Nghĩa"
Chí hướng minh tinh 2,Phim bộ,15000,8.7,P,2017,12,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Tiếng Phổ Thông",Tu Jun Guang,"Shen Hao Chen, Wang Rui Zi, Ngạn Hi, Mary, Jakcie, Gao Bei Bei, Lu Xing Yu, JL, Peng Yu Chang, Dịch Bách Thần"
Bảy Kiếp May Mắn,Phim bộ,35300,9.6,T13,2023,38,Trung Quốc đại lục,"Lãng Mạn, Viễn Tưởng, Hư Cấu, Tổng Tài Bá Đạo, Cổ Trang, Tiếng Phổ Thông",Li Nan,"Dương Siêu Việt, Đinh Vũ Hề, Yang Hao Yu, Dong Xuan, Charles Lin, Tinh Trạch, Lư Dục Hiểu"
【Thuyết minh】Làm Trái Tim Em Mỉm Cười,Phim bộ,2700,9.2,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Học Đường, Tiếng Việt",Xi Dao,"La Chính, Quý Mỹ Hàm, Trần Hạc Nhất , Li Sha Min Zi, Wen Yuan, Thường Hoa Sâm"
Anh Hùng Cái Thế Của Tôi Phần 1,Phim bộ,1200,8.8,T13,2019,12,Trung Quốc đại lục,"Tình Tiết, Thanh Xuân, Tiếng Phổ Thông","MosChen,Mi Bao","Nhậm Hựu Luân, Liao Yu Chen, Lu Dong Xu, Larina"
Người đẹp Gangnam,Phim bộ,62700,9.3,T13,2018,16,Hàn Quốc,"Lãng Mạn, Thanh Xuân, Học Đường, Tiếng Hàn",Choi Sung Bum,"Lim Su Hyang, Cha Eun Woo, Woo Ri Jo, Gwak Dong Yeon"
Lang Quân 100 Ngày,Phim bộ,10400,9.4,T13,2018,16,Hàn Quốc,"Lãng Mạn, Phim Hài, Cổ Trang, Tiếng Hàn, Cổ Đại",Jong-jae Lee,"D.O., Nam Ji Hyun, Jo Sung-ha, Kim Seon-ho, So-hee Han"
Đối tác trong mơ,Phim bộ,3000,9.3,T13,2018,27,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Thanh Xuân, Tiếng Phổ Thông",Jeffrey Chiang,"Li Guang Jie, Gao Lu, Viên Văn Khang, Liu Tian Zuo, Ryan Zheng, Song Wen Fei, Zheng Yu, Pu Chao Ying, Shi Da Sheng, Hua Li"
Tiểu Xá Đắc,Phim bộ,2000,9.4,T13,2021,42,Trung Quốc đại lục,"Thành Thị, Gia Đình, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Zhang Xiao Bo,"Tiểu Tống Giai, Đồng Đại Vỹ, Tưởng Hân, Lý Giai Hàng, Zhang Guo Li"
Kỳ Thi Quan Trọng,Phim bộ,29000,9.5,T13,2022,22,Trung Quốc đại lục,"Tình Tiết, Thanh Xuân, Gia Đình, Tiếng Phổ Thông",Shen Yan,"Chen Bao Guo, Wang Qianyuan, Lý Canh Hy, Hồ Tiên Hú, Vinh Tử Sam, Quách Đào, Liang Jing, Yan Bingyan, Lawrence Wang, Tào Hi Văn, Lam Doanh Oánh"
【Thuyết minh】Vận Mệnh Kỳ Diệu,Phim bộ,68000,9.2,T13,2021,16,Trung Quốc đại lục,"Viễn Tưởng, Phim Hài, Thanh Xuân, Cổ Trang, Tiếng Phổ Thông",Zeng Huang Wu,"Cao Jun Xiang, Zhang Yue Nan, Wang Yu Lin"
Hương Vị Thương Yêu,Phim bộ,21000,8.8,T13,2019,39,Trung Quốc đại lục,Thành Thị,Chen Ming Zhang,"Lu Yi, Amber Kuo, Aaron、Arron, Xiaoqi Ai, Li Sha Min Zi"
Blueming: Hoa Nở Vì Em,Phim bộ,25500,9.5,T18,2022,11,Hàn Quốc,"LGBT, Lãng Mạn, Thanh Xuân, Học Đường, Tiếng Hàn","Hwang Da-Seul,Huang Da Se","Eun Bin Kang, Hyuk Jun Cho"
"Thời Gian Và Anh, Vừa Hay Đúng Lúc",Phim bộ,9100,9.6,T13,2022,25,Trung Quốc đại lục,"Lãng Mạn, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường, Tiếng Phổ Thông",Rong-hui Chen,"Lư Dục Hiểu, Wu Jun Ting"
Tứ bảo thư phòng,Phim bộ,1000,8.8,T13,2018,30,Trung Quốc đại lục,Cổ Trang,Zhang Tie Lin,"Zhang Tie Lin, Audrey Liao, Li Cheng Ru, Chi Hua Qiong, Zhao Jin"
Tiên Kiếm Kỳ Hiệp 4,Phim bộ,16200,9.6,T13,2024,36,Trung Quốc đại lục,"Lãng Mạn, Cổ Trang, Tiếng Phổ Thông, Cổ Đại, Tiểu Thuyết Chuyển Thể",Yang Xuan,"Cúc Tịnh Y, Trần Triết Viễn, Mao Tử Tuấn, Mao Hiểu Huệ, Trần Sở Hà"
"Xin Chào, Bạn Trai Của Tôi",Phim bộ,12100,9.3,T13,2023,24,Trung Quốc đại lục,"Lãng Mạn, Tổng Tài Bá Đạo, Thanh Xuân, Tình Yêu Ngọt Ngào, Tiếng Phổ Thông",Ma Ming,"Jia Yi, Jin Zi Xuan, Phan Hiểu Đông, Wu Ming Jing, Du Hou Jia, Chen Yi Qi, Gao Kai Yuan, Boyang Li"
Nếu Bôn Ba Là Định Mệnh Của Tôi,Phim bộ,2000,9.8,T13,2024,28,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Gia Đình, Tiếng Phổ Thông","Shen Yan, Li Jiang Ming","Chung Sở Hi, Dương Siêu Việt, Hứa Đệ, Trần Tiểu Nghệ"
Sơn Trại Tiểu Manh Chủ,Phim bộ,13500,9.4,T13,2020,27,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Tình Yêu Ngọt Ngào, Cổ Trang, Tiếng Phổ Thông, Cổ Đại",Zoe Qin,"Eleanor Lee, Yiqin Zhao, Jin Ze, Sun xue ning, Chen Si Yu"
Bác sĩ Đường,Phim bộ,7700,9.7,T13,2022,36,Trung Quốc đại lục,"Y Liệu, Thành Thị, Tình Bạn, Gia Đình, Tiếng Phổ Thông",De-Guang Wen,"Tần Lam, Ngụy Đại Huân, Gao Lu, Jue Huang, Ning Wen Tong, Mikan, Jia Jing Hui, David Wang"
Dân Quốc Kỳ Thám,Phim bộ,14600,9.4,T16,2020,36,Trung Quốc đại lục,"Bí Ẩn, Phim Hài, Tình Bạn, Thanh Xuân, Tiếng Phổ Thông",Zhang Wei Ke,"Hồ Nhất Thiên, Trương Vân Long, Tiêu Yến, Trương Hội Trung, Zeng Yong Ti"
Cuộc Chiến Hậu Cung,Phim bộ,18700,9.2,T13,2019,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Cổ Trang, Tiếng Hàn, Cổ Đại",Kim Jeong Min,"Jin Se Yeon, Kim Min Kyu, Li Lie Yin, Si-eon Lee"
Năng Nhẫn Lớn Rồi Phần 2,Phim bộ,2000,9.6,P,2019,12,Trung Quốc đại lục,"Tình Tiết, Phim Hài, Thành Thị",Liu Jia Yin,"Helun Zhang, Luan Yun Ping, Yang Jiu Lang, Meng Hetang, Gao Feng, Zhang Yun Lei, Li He Biao, Ren Ming Song, E Jing Wen, Li Si Rui"
Love In The Air (Không Khí Tình Yêu),Phim bộ,88200,9.8,T18,2022,13,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Thái Lan",Neti Suwanjinda,"Boss Chaikamon sermsongwittaya, Noeul Nuttarat Tangwai, Fort Thitipong Sangngey, Peat Wasuthorn Chaijindar"
Cặp Đôi Vượt Thời Gian,Phim bộ,5400,9.5,T13,2017,12,Hàn Quốc,"Lãng Mạn, Tình Tiết, Tiếng Hàn",He Bing Xun,"Sun Hao Jun, Anglenala, Lin Zhi Kui, Han Bao Lin"
Thẩm Phán Ác Ma,Phim bộ,31100,9.7,T16,2021,16,Hàn Quốc,"Bí Ẩn, Tiếng Hàn",Choi Jung Kyu,"Ji Sung, Park Jin-young, Park Gyu-young, Kim Min-jeong"
Mĩ Nhân Vi Hãm,Phim bộ,1500,9.3,T16,2016,36,Trung Quốc đại lục,"Bí Ẩn, Tội Phạm, Phiêu Lưu, Tình Tiết, Hình Sự, Thành Thị","Tat Chiu Lee, George Leung","Yang Rong, Bạch Vũ, He Feng Tian, Wang Yu, EVAN, Mễ Nhiệt, Cindy, Zhang Yi Jie, Nan Fu Long, Thích Tích"
Làm Trái Tim Em Mỉm Cười,Phim bộ,76800,9,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Học Đường, Tiếng Phổ Thông",Xi Dao,"La Chính, Quý Mỹ Hàm, Trần Hạc Nhất , Li Sha Min Zi, Wen Yuan, Thường Hoa Sâm"
Nhiệt Huyết Bóng Rổ,Phim bộ,2000,8.9,P,2018,36,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tiếng Phổ Thông",gary sing,"Thomas Tong, Hình Phi, Nie Zi Hao, Tu Bing, Cao Yu Chen, Zhao Luo Ran, Li Wen Han, Wang Yan Yang, Dương Nghiệp Minh, Ping Hao, Zhang Zhi Zhong, ChenXuanming, Đồng Dĩ Huyên, Zhou Yi Xuan, Daniel, Li Shi Peng"
Bộ Bộ Kinh Tâm,Phim bộ,2600,9.4,T13,2011,35,Trung Quốc đại lục,"Lãng Mạn, Cổ Trang, Tiếng Phổ Thông, Cổ Đại, Tiểu Thuyết Chuyển Thể",Li Guo Li,"Lưu Thi Thi, Ngô Kỳ Long, Kevin Cheng, Justin Yuan, Lâm Canh Tân, Damian,Sung Ren Liu, Lưu Tâm Du, Hàn Đống, Ye Zuxin, Yoyo Liu,Angel Liu, Shi Xiao Qun, Quách Hiểu Đình, Jenny, Diệp Thanh, Chunrong Dai, Zhang Lei, RayMa, Monica, Chai Wei, Xinyue Cao, Mingtong Kang, Zheng Kai"
Tiểu Thư Xuân Gia Là Tụng Sư,Phim bộ,2100,9.5,T13,2023,20,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Cổ Trang, Tiếng Phổ Thông, Cổ Đại",Zhang Rui,"Zhuang Dafei, Hoàng Tuấn Tiệp, Zhixin Fan, Chu Lâm Vũ, Qin Tian （ Yan Yuan"
Lưu Kim Tuế Nguyệt,Phim bộ,2400,9.4,T13,2020,38,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Tình Bạn, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Shen Yan,"Chendaoming, Đổng Tử Kiện, Lưu Thi Thi, Nghê Ni, Tian Yu, Dương Hữu Ninh"
【Thuyết Minh】Trường Phong Độ,Phim bộ,5000,9.9,T13,2024,40,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Tình Yêu Ngọt Ngào, Cổ Trang, Hôn Nhân, Tiếng Việt",Yin Tao,"Bạch Kính Đình, Tống Dật, Lưu Học Nghĩa, Trương Hạo Duy, Trương Hàng Duệ, Triệu Tử Kỳ"
